Date,Hour Slot,Outdoor Steps,Basic Steps
"Monday, July 29, 2019",12am-1am,,
"Monday, July 29, 2019",1am-2am,,
"Monday, July 29, 2019",2am-3am,,
"Monday, July 29, 2019",3am-4am,,
"Monday, July 29, 2019",4am-5am,,
"Monday, July 29, 2019",5am-6am,,
"Monday, July 29, 2019",6am-7am,,
"Monday, July 29, 2019",7am-8am,,
"Monday, July 29, 2019",8am-9am,,
"Monday, July 29, 2019",9am-10am,,
"Monday, July 29, 2019",10am-11am,,
"Monday, July 29, 2019",11am-12pm,98,
"Monday, July 29, 2019",12pm-1pm,856,
"Monday, July 29, 2019",1pm-2pm,,
"Monday, July 29, 2019",2pm-3pm,95,
"Monday, July 29, 2019",3pm-4pm,270,380
"Monday, July 29, 2019",4pm-5pm,77,306
"Monday, July 29, 2019",5pm-6pm,,
"Monday, July 29, 2019",6pm-7pm,,
"Monday, July 29, 2019",7pm-8pm,1099,
"Monday, July 29, 2019",8pm-9pm,503,
"Monday, July 29, 2019",9pm-10pm,,
"Monday, July 29, 2019",10pm-11pm,20,
"Monday, July 29, 2019",11pm-12am,,
"Tuesday, July 30, 2019",12am-1am,,
"Tuesday, July 30, 2019",1am-2am,,
"Tuesday, July 30, 2019",2am-3am,,
"Tuesday, July 30, 2019",3am-4am,,
"Tuesday, July 30, 2019",4am-5am,,
"Tuesday, July 30, 2019",5am-6am,148,
"Tuesday, July 30, 2019",6am-7am,,
"Tuesday, July 30, 2019",7am-8am,,
"Tuesday, July 30, 2019",8am-9am,121,
"Tuesday, July 30, 2019",9am-10am,143,
"Tuesday, July 30, 2019",10am-11am,718,
"Tuesday, July 30, 2019",11am-12pm,55,341
"Tuesday, July 30, 2019",12pm-1pm,839,
"Tuesday, July 30, 2019",1pm-2pm,11,
"Tuesday, July 30, 2019",2pm-3pm,,
"Tuesday, July 30, 2019",3pm-4pm,57,42
"Tuesday, July 30, 2019",4pm-5pm,61,
"Tuesday, July 30, 2019",5pm-6pm,863,
"Tuesday, July 30, 2019",6pm-7pm,,
"Tuesday, July 30, 2019",7pm-8pm,,
"Tuesday, July 30, 2019",8pm-9pm,332,
"Tuesday, July 30, 2019",9pm-10pm,1726,
"Tuesday, July 30, 2019",10pm-11pm,38,
"Tuesday, July 30, 2019",11pm-12am,,
"Wednesday, July 31, 2019",12am-1am,,
"Wednesday, July 31, 2019",1am-2am,,
"Wednesday, July 31, 2019",2am-3am,,
"Wednesday, July 31, 2019",3am-4am,,
"Wednesday, July 31, 2019",4am-5am,,
"Wednesday, July 31, 2019",5am-6am,133,
"Wednesday, July 31, 2019",6am-7am,,
"Wednesday, July 31, 2019",7am-8am,1497,
"Wednesday, July 31, 2019",8am-9am,117,215
"Wednesday, July 31, 2019",9am-10am,374,
"Wednesday, July 31, 2019",10am-11am,138,90
"Wednesday, July 31, 2019",11am-12pm,175,
"Wednesday, July 31, 2019",12pm-1pm,482,255
"Wednesday, July 31, 2019",1pm-2pm,,
"Wednesday, July 31, 2019",2pm-3pm,26,
"Wednesday, July 31, 2019",3pm-4pm,595,
"Wednesday, July 31, 2019",4pm-5pm,109,142
"Wednesday, July 31, 2019",5pm-6pm,,
"Wednesday, July 31, 2019",6pm-7pm,50,
"Wednesday, July 31, 2019",7pm-8pm,14,
"Wednesday, July 31, 2019",8pm-9pm,126,
"Wednesday, July 31, 2019",9pm-10pm,17,
"Wednesday, July 31, 2019",10pm-11pm,,
"Wednesday, July 31, 2019",11pm-12am,,
"Thursday, August 1, 2019",12am-1am,,
"Thursday, August 1, 2019",1am-2am,,
"Thursday, August 1, 2019",2am-3am,,
"Thursday, August 1, 2019",3am-4am,,
"Thursday, August 1, 2019",4am-5am,,
"Thursday, August 1, 2019",5am-6am,84,27
"Thursday, August 1, 2019",6am-7am,758,
"Thursday, August 1, 2019",7am-8am,2748,
"Thursday, August 1, 2019",8am-9am,629,132
"Thursday, August 1, 2019",9am-10am,56,384
"Thursday, August 1, 2019",10am-11am,91,
"Thursday, August 1, 2019",11am-12pm,92,
"Thursday, August 1, 2019",12pm-1pm,979,
"Thursday, August 1, 2019",1pm-2pm,64,
"Thursday, August 1, 2019",2pm-3pm,116,
"Thursday, August 1, 2019",3pm-4pm,476,
"Thursday, August 1, 2019",4pm-5pm,,340
"Thursday, August 1, 2019",5pm-6pm,,
"Thursday, August 1, 2019",6pm-7pm,,
"Thursday, August 1, 2019",7pm-8pm,58,
"Thursday, August 1, 2019",8pm-9pm,1600,50
"Thursday, August 1, 2019",9pm-10pm,16,
"Thursday, August 1, 2019",10pm-11pm,,
"Thursday, August 1, 2019",11pm-12am,,
"Friday, August 2, 2019",12am-1am,,
"Friday, August 2, 2019",1am-2am,,
"Friday, August 2, 2019",2am-3am,,
"Friday, August 2, 2019",3am-4am,,
"Friday, August 2, 2019",4am-5am,,
"Friday, August 2, 2019",5am-6am,226,
"Friday, August 2, 2019",6am-7am,985,
"Friday, August 2, 2019",7am-8am,635,
"Friday, August 2, 2019",8am-9am,,2866
"Friday, August 2, 2019",9am-10am,200,
"Friday, August 2, 2019",10am-11am,414,
"Friday, August 2, 2019",11am-12pm,99,203
"Friday, August 2, 2019",12pm-1pm,,
"Friday, August 2, 2019",1pm-2pm,,
"Friday, August 2, 2019",2pm-3pm,671,322
"Friday, August 2, 2019",3pm-4pm,547,
"Friday, August 2, 2019",4pm-5pm,143,
"Friday, August 2, 2019",5pm-6pm,,
"Friday, August 2, 2019",6pm-7pm,,
"Friday, August 2, 2019",7pm-8pm,423,
"Friday, August 2, 2019",8pm-9pm,1655,
"Friday, August 2, 2019",9pm-10pm,,32
"Friday, August 2, 2019",10pm-11pm,17,
"Friday, August 2, 2019",11pm-12am,,
"Saturday, August 3, 2019",12am-1am,,
"Saturday, August 3, 2019",1am-2am,,
"Saturday, August 3, 2019",2am-3am,,
"Saturday, August 3, 2019",3am-4am,,
"Saturday, August 3, 2019",4am-5am,,
"Saturday, August 3, 2019",5am-6am,166,
"Saturday, August 3, 2019",6am-7am,881,
"Saturday, August 3, 2019",7am-8am,2266,
"Saturday, August 3, 2019",8am-9am,1273,
"Saturday, August 3, 2019",9am-10am,144,
"Saturday, August 3, 2019",10am-11am,13,
"Saturday, August 3, 2019",11am-12pm,,
"Saturday, August 3, 2019",12pm-1pm,,
"Saturday, August 3, 2019",1pm-2pm,,
"Saturday, August 3, 2019",2pm-3pm,17,
"Saturday, August 3, 2019",3pm-4pm,,
"Saturday, August 3, 2019",4pm-5pm,101,
"Saturday, August 3, 2019",5pm-6pm,61,15
"Saturday, August 3, 2019",6pm-7pm,,
"Saturday, August 3, 2019",7pm-8pm,1199,38
"Saturday, August 3, 2019",8pm-9pm,1530,81
"Saturday, August 3, 2019",9pm-10pm,1484,729
"Saturday, August 3, 2019",10pm-11pm,3061,
"Saturday, August 3, 2019",11pm-12am,26,
"Sunday, August 4, 2019",12am-1am,,
"Sunday, August 4, 2019",1am-2am,,
"Sunday, August 4, 2019",2am-3am,,
"Sunday, August 4, 2019",3am-4am,,
"Sunday, August 4, 2019",4am-5am,,
"Sunday, August 4, 2019",5am-6am,,
"Sunday, August 4, 2019",6am-7am,5539,
"Sunday, August 4, 2019",7am-8am,2197,151
"Sunday, August 4, 2019",8am-9am,51,
"Sunday, August 4, 2019",9am-10am,2747,
"Sunday, August 4, 2019",10am-11am,534,
"Sunday, August 4, 2019",11am-12pm,,
"Sunday, August 4, 2019",12pm-1pm,,
"Sunday, August 4, 2019",1pm-2pm,1474,
"Sunday, August 4, 2019",2pm-3pm,69,
"Sunday, August 4, 2019",3pm-4pm,1088,1118
"Sunday, August 4, 2019",4pm-5pm,532,664
"Sunday, August 4, 2019",5pm-6pm,341,28
"Sunday, August 4, 2019",6pm-7pm,18,
"Sunday, August 4, 2019",7pm-8pm,36,
"Sunday, August 4, 2019",8pm-9pm,270,
"Sunday, August 4, 2019",9pm-10pm,,
